"","date","hits","keyword","geo","time","gprop","category"
"182",2021-09-12,74,"/m/01kcnl","AR","today+5-y","web",0
"183",2021-09-19,75,"/m/01kcnl","AR","today+5-y","web",0
"184",2021-09-26,74,"/m/01kcnl","AR","today+5-y","web",0
"185",2021-10-03,76,"/m/01kcnl","AR","today+5-y","web",0
"186",2021-10-10,76,"/m/01kcnl","AR","today+5-y","web",0
"187",2021-10-17,66,"/m/01kcnl","AR","today+5-y","web",0
"188",2021-10-24,66,"/m/01kcnl","AR","today+5-y","web",0
"189",2021-10-31,66,"/m/01kcnl","AR","today+5-y","web",0
"190",2021-11-07,67,"/m/01kcnl","AR","today+5-y","web",0
"191",2021-11-14,65,"/m/01kcnl","AR","today+5-y","web",0
"192",2021-11-21,77,"/m/01kcnl","AR","today+5-y","web",0
"193",2021-11-28,66,"/m/01kcnl","AR","today+5-y","web",0
"194",2021-12-05,65,"/m/01kcnl","AR","today+5-y","web",0
"195",2021-12-12,62,"/m/01kcnl","AR","today+5-y","web",0
"196",2021-12-19,58,"/m/01kcnl","AR","today+5-y","web",0
"197",2021-12-26,57,"/m/01kcnl","AR","today+5-y","web",0
"198",2022-01-02,72,"/m/01kcnl","AR","today+5-y","web",0
"199",2022-01-09,70,"/m/01kcnl","AR","today+5-y","web",0
"200",2022-01-16,70,"/m/01kcnl","AR","today+5-y","web",0
"201",2022-01-23,71,"/m/01kcnl","AR","today+5-y","web",0
"202",2022-01-30,78,"/m/01kcnl","AR","today+5-y","web",0
"203",2022-02-06,76,"/m/01kcnl","AR","today+5-y","web",0
"204",2022-02-13,73,"/m/01kcnl","AR","today+5-y","web",0
"205",2022-02-20,70,"/m/01kcnl","AR","today+5-y","web",0
"206",2022-02-27,70,"/m/01kcnl","AR","today+5-y","web",0
"207",2022-03-06,73,"/m/01kcnl","AR","today+5-y","web",0
"208",2022-03-13,69,"/m/01kcnl","AR","today+5-y","web",0
"209",2022-03-20,72,"/m/01kcnl","AR","today+5-y","web",0
"210",2022-03-27,77,"/m/01kcnl","AR","today+5-y","web",0
"211",2022-04-03,72,"/m/01kcnl","AR","today+5-y","web",0
"212",2022-04-10,73,"/m/01kcnl","AR","today+5-y","web",0
"213",2022-04-17,70,"/m/01kcnl","AR","today+5-y","web",0
"214",2022-04-24,75,"/m/01kcnl","AR","today+5-y","web",0
"215",2022-05-01,69,"/m/01kcnl","AR","today+5-y","web",0
"216",2022-05-08,71,"/m/01kcnl","AR","today+5-y","web",0
"217",2022-05-15,70,"/m/01kcnl","AR","today+5-y","web",0
"218",2022-05-22,75,"/m/01kcnl","AR","today+5-y","web",0
"219",2022-05-29,73,"/m/01kcnl","AR","today+5-y","web",0
"220",2022-06-05,71,"/m/01kcnl","AR","today+5-y","web",0
"221",2022-06-12,72,"/m/01kcnl","AR","today+5-y","web",0
